gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora
2024-11-16 23:06:27,TXT_2_IMG,SUCCEED,36.0,G0001,33.0,26.0,8.0,40.0,M0001,0
2024-11-16 23:07:48,IMG_2_IMG,SUCCEED,39.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:08:45,IMG_2_IMG,SUCCEED,39.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:09:19,TXT_2_IMG,SUCCEED,35.0,G0001,33.0,26.0,8.0,40.0,M0001,0
2024-11-16 23:10:08,IMG_2_IMG,SUCCEED,41.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:11:46,IMG_2_IMG,SUCCEED,42.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-17 00:47:54,TXT_2_IMG,SUCCEED,29.0,G0013,57.0,26.0,1.0,30.0,M0002,0
2024-11-17 00:48:56,TXT_2_IMG,SUCCEED,15.0,G0013,36.0,26.0,1.0,30.0,M0002,0
2024-11-17 02:36:39,TXT_2_IMG,SUCCEED,22.0,G0014,73.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:11:02,IMG_2_IMG,SUCCEED,18.0,G0015,19.0,26.0,1.0,30.0,M0004,0
2024-11-17 03:13:01,INPAINTING,SUCCEED,10.0,G0015,2.0,26.0,1.0,30.0,M0004,0
2024-11-17 03:51:49,TXT_2_IMG,SUCCEED,25.0,G0016,45.0,26.0,1.0,30.0,M0010,0
2024-11-17 03:52:32,TXT_2_IMG,SUCCEED,21.0,G0016,64.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:53:47,TXT_2_IMG,SUCCEED,21.0,G0016,48.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:55:05,TXT_2_IMG,SUCCEED,24.0,G0016,46.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:56:11,TXT_2_IMG,SUCCEED,12.0,G0016,42.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:57:09,TXT_2_IMG,SUCCEED,17.0,G0016,47.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:58:02,TXT_2_IMG,SUCCEED,18.0,G0017,49.0,26.0,1.0,30.0,M0002,0
2024-11-17 03:58:44,TXT_2_IMG,SUCCEED,12.0,G0016,27.0,26.0,1.0,30.0,M0004,0
2024-11-17 03:59:21,TXT_2_IMG,SUCCEED,24.0,G0017,61.0,26.0,1.0,30.0,M0002,0
2024-11-17 04:06:29,TXT_2_IMG,SUCCEED,37.0,G0018,66.0,26.0,1.0,30.0,M0011,0
2024-11-17 04:39:37,TXT_2_IMG,SUCCEED,14.0,G0019,71.0,,1.0,30.0,M0004,0
2024-11-17 04:41:36,TXT_2_IMG,SUCCEED,15.0,G0019,69.0,,2.0,30.0,M0004,0
2024-11-17 04:43:20,TXT_2_IMG,SUCCEED,16.0,G0019,67.0,,4.0,30.0,M0012,0
2024-11-17 04:44:00,TXT_2_IMG,FAILED,3.0,G0019,67.0,,2.0,30.0,M0013,0
2024-11-17 04:44:09,TXT_2_IMG,FAILED,3.0,G0019,67.0,,2.0,30.0,M0013,0
2024-11-17 05:08:10,TXT_2_IMG,SUCCEED,14.0,G0020,52.0,26.0,1.0,30.0,M0002,0
2024-11-17 17:49:30,TXT_2_IMG,SUCCEED,28.0,G0021,115.0,26.0,8.0,30.0,M0002,0
2024-11-17 18:23:25,TXT_2_IMG,SUCCEED,31.0,G0000,62.0,26.0,4.0,30.0,M0000,0
2024-11-17 18:30:55,TXT_2_IMG,SUCCEED,29.0,G0022,56.0,26.0,1.0,30.0,M0014,0
2024-11-17 18:32:33,TXT_2_IMG,SUCCEED,24.0,G0000,54.0,26.0,4.0,30.0,M0000,0
2024-11-17 18:33:11,TXT_2_IMG,SUCCEED,25.0,G0000,59.0,26.0,4.0,30.0,M0000,0
2024-11-17 18:33:45,TXT_2_IMG,SUCCEED,21.0,G0022,61.0,26.0,1.0,30.0,M0014,0
2024-11-17 18:34:07,TXT_2_IMG,SUCCEED,29.0,G0000,71.0,26.0,4.0,30.0,M0000,0
